id_in_session,code,_is_bot,_index_in_pages,_max_page_index,_current_app_name,_current_page_name,time_started_utc,visited,participant_code,session_code,is_demo,real_world_currency_per_point,name,participation_fee,id_in_group,payoff,reserve_m_1,reserve_m_2,value_1,value_1_1,value_1_2,value_1_3,value_1_4,value_1_5,value_1_6,value_2,value_2_1,value_2_2,value_2_3,value_2_4,value_2_5,value_2_6,value_1_max,value_2_max,reserve_p_2,upfront_2,random_m_1,random_m_2,reserve_2,profit_1,profit_2,profit,get_1,get_2,revenue,revenue_1,revenue_2,account_1,account_2,account,earn,bonus,getmyerson_1,getmyerson_2,getpost_2,lucky,finalpay,quiz1,quiz2,quiz3,quiz4,p_reserve_m_1,p_reserve_m_2,p_value_1,p_value_1_1,p_value_1_2,p_value_1_3,p_value_2,p_value_2_1,p_value_2_2,p_value_1_max,p_value_2_max,p_reserve_p_2,p_upfront_2,p_random_m_1,p_random_m_2,p_reserve_2,p_profit_1,p_profit_2,p_profit,p_get_1,p_get_2,p_revenue,p_revenue_1,p_revenue_2,p_getmyerson_1,p_getmyerson_2,p_getpost_2,p_bid_1,p_enter_2,p_bid_2,bid_1,enter_2,bid_2,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,lottery7,lottery8,lottery9,lottery10,survey1,survey2,survey3,survey4,survey5,survey6,surveyid,id_in_subsession,round_number,date,treatment,survey3grad
13,x3sk601e,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:38:05.467104,1,59.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,13,59.0,2.0,2.0,2.0,1,0,0,0,0,0,8.0,0,0,1,0,0,0,4.0,16.0,2.0,4.0,0.0,0.0,2.0,2.0,2.0,9.0,1.0,1.0,6.0,0.0,6.0,52.0,54.0,59.0,5.9,5.0,1.0,1.0,1.0,10,15.9,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0,1,0,4.0,1,0,8.0,8.0,0.0,5.0,0.0,0.0,0.0,4.0,-1.0,3.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,1.0,6.0,1.0,8.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,3.0,3.4,the highest bid,above average points,7,1,1,0913,1,
16,it84a3pj,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:41:26.209125,1,57.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,16,57.0,2.0,2.0,2.0,1,0,0,0,0,0,4.0,0,1,0,0,0,0,4.0,8.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,7.0,1.0,1.0,8.0,2.0,6.0,50.0,52.0,57.0,5.7,5.0,1.0,1.0,1.0,10,15.7,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,4.0,1,0,12.0,8.0,0.0,5.0,1.0,0.0,0.0,2.0,-1.0,1.0,1.0,1.0,9.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,8.0,3.85,If I would gain more,If I would gain more,16,1,1,0913,1,
17,y5c8be8u,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:41:36.784817,1,78.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,17,78.0,2.0,2.0,4.0,0,1,0,0,0,0,16.0,0,0,0,1,0,0,8.0,32.0,4.0,3.0,0.0,1.0,2.0,4.0,14.0,28.0,1.0,1.0,5.0,0.0,5.0,54.0,68.0,78.0,7.8,10.0,1.0,1.0,1.0,2,17.8,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,6.0,0,1,12.0,12.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,4.0,Just tried to pick the middle of the choices as well as bid the least amount,Just tried to pick the middle of the range and bid the least amount,17,1,1,0913,1,
18,4zo57cxk,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:41:57.156072,1,68.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,18,68.0,2.0,2.0,4.0,0,1,0,0,0,0,2.0,1,0,0,0,0,0,8.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,18.0,1.0,1.0,8.0,2.0,6.0,52.0,52.0,68.0,6.8,16.0,1.0,1.0,1.0,2,16.8,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,4.0,1,0,12.0,8.0,1.0,4.0,0.0,0.0,1.0,6.0,-1.0,5.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,1.0,4.0,1.0,6.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,3.92,"When making a decision in the first period, I decided to pick between numbers to try and guess the secret number.","When making a decision in the second period, I chose to pay the membership fee and then proceeded to choose a number so I could get the membership waived. ",18,1,1,0913,1,
19,g0f6jws6,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:42:12.679177,1,62.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,19,62.0,2.0,2.0,4.0,0,1,0,0,0,0,2.0,1,0,0,0,0,0,8.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,12.0,1.0,0.0,2.0,2.0,0.0,52.0,52.0,62.0,6.2,10.0,1.0,0.0,0.0,1,16.2,0.0,0.0,1.0,0.0,4.0,4.0,2.0,1,0,0,4.0,1,0,4.0,8.0,1.0,4.0,0.0,0.0,1.0,2.0,-1.0,1.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,1.0,4.0,1.0,8.0,4.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,3.6,Since I got a profit the first time I didn't want to go again with my luck,I wanted to choose the lower option the first 5 then higher option for the next 5 cause my chances were higher,19,1,1,0913,1,
20,mvp8k745,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:42:30.957220,1,58.0,igdrqddk,0,0.1,Non_clairvoyant_dynamic,0.0,20,58.0,2.0,2.0,4.0,0,1,0,0,0,0,2.0,1,0,0,0,0,0,8.0,4.0,2.0,4.0,0.0,0.0,2.0,4.0,-4.0,8.0,1.0,1.0,6.0,0.0,6.0,54.0,50.0,58.0,5.8,8.0,1.0,1.0,1.0,7,15.8,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,4.0,1,0,12.0,8.0,0.0,5.0,0.0,0.0,0.0,6.0,-1.0,5.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,3.2,Don't bid more than the value of the item. You could pay more than the item is worth.,Pay the fee. Hope for a higher value. got 2 so didnt want to bid more than 2. Ended up losing points,20,1,1,0913,1,
1,tqh7bf87,0,37,36,Non_clairvoyant_dynamic_worse_2,Results,2021-09-13 17:44:50.208044,1,70.0,8tt4aoii,0,0.1,Non_clairvoyant_dynamic_worse_2,0.0,1,70.0,2.0,2.0,4.0,1,1,0,0,0,0,4.0,0,1,0,0,0,0,8.0,8.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,20.0,1.0,1.0,6.0,2.0,4.0,52.0,54.0,70.0,7.0,16.0,1.0,1.0,1.0,5,17.0,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,6.0,0,1,12.0,12.0,0.0,5.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,13.0,4.0,9.0,1.0,1.0,1.0,6.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,2.8,based off the chart there was 50% chance for that certain number ,with the membership fee i picked smaller numbers knowing the numbers would be smaller,1,1,1,0913,2,
2,bvtypppt,0,37,36,Non_clairvoyant_dynamic_worse_2,Results,2021-09-13 17:45:01.441640,1,62.0,8tt4aoii,0,0.1,Non_clairvoyant_dynamic_worse_2,0.0,2,62.0,2.0,2.0,2.0,1,0,0,0,0,0,4.0,0,1,0,0,0,0,4.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,12.0,1.0,1.0,4.0,2.0,2.0,50.0,52.0,62.0,6.2,10.0,1.0,1.0,1.0,1,16.2,0.0,0.0,1.0,0.0,4.0,4.0,2.0,1,0,0,4.0,1,0,4.0,8.0,4.0,1.0,1.0,0.0,4.0,0.0,-1.0,-1.0,0.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,3.86,"I realized that I have nothing really to lose so I just went in, and the highest probability was 50% for the number 2 so I chose that number and got it right.","I was risking more, in the practice I had ended with -1 points so I just was hoping this time I would've picked the better answer.",2,1,1,0913,2,
3,flatdjcr,0,37,36,Non_clairvoyant_dynamic_worse_2,Results,2021-09-13 17:45:32.770749,1,56.0,8tt4aoii,0,0.1,Non_clairvoyant_dynamic_worse_2,0.0,3,56.0,2.0,2.0,2.0,1,0,0,0,0,0,4.0,0,1,0,0,0,0,4.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,5.0,2.0,3.0,50.0,51.0,56.0,5.6,5.0,1.0,1.0,1.0,10,15.6,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0,1,0,4.0,1,0,8.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,9.0,4.0,5.0,1.0,1.0,1.0,8.0,1.0,4.0,4.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,23.0,5.0,3.4,mostly predicting ,guessing as well,3,1,1,0913,2,
4,lqdm7470,0,37,36,Non_clairvoyant_dynamic_worse_2,Results,2021-09-13 17:45:55.796693,1,56.0,8tt4aoii,0,0.1,Non_clairvoyant_dynamic_worse_2,0.0,4,56.0,2.0,2.0,4.0,0,1,0,0,0,0,2.0,1,0,0,0,0,0,8.0,4.0,0.0,3.0,1.0,0.0,0.0,2.0,-1.0,6.0,1.0,1.0,5.0,2.0,3.0,52.0,51.0,56.0,5.6,5.0,1.0,1.0,1.0,10,15.6,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,6.0,0,1,12.0,12.0,0.0,5.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,13.0,4.0,9.0,1.0,1.0,1.0,6.0,1.0,7.0,8.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,4.0,I bid the highest number that was distributed amongst the pool.,"I bid higher than the highest number distributed amongst the pool, in consideration of the membership fee.",4,1,1,0913,2,
5,oipufw5p,0,37,36,Non_clairvoyant_dynamic_worse_2,Results,2021-09-13 17:46:09.319009,1,62.0,8tt4aoii,0,0.1,Non_clairvoyant_dynamic_worse_2,0.0,5,62.0,2.0,2.0,4.0,0,1,0,0,0,0,4.0,0,1,0,0,0,0,8.0,8.0,0.0,3.0,1.0,1.0,2.0,2.0,2.0,12.0,1.0,1.0,7.0,2.0,5.0,52.0,54.0,62.0,6.2,8.0,1.0,1.0,1.0,6,16.2,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0,1,0,6.0,0,1,8.0,12.0,2.0,3.0,1.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,7.0,0.0,7.0,0.0,1.0,1.0,3.0,1.0,12.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,4.0,"As there is no membership fee and we only have to pay the secret price even the bidding value is high, I chose the larger value as I will be making the profit for sure","To play the game, the membership price is mandatory so paid membership price, Item value divided 50%-50% among 4 points and 2 points. So, I kept the bidding price as 4 as the robot also have to consider 2 points to consider a secret price and it will be less then 4. So, I chose 4",5,1,1,0913,2,
6,55okfadq,0,37,36,Non_clairvoyant_dynamic_worse_2,Results,2021-09-13 17:46:21.684653,1,68.0,8tt4aoii,0,0.1,Non_clairvoyant_dynamic_worse_2,0.0,6,68.0,2.0,2.0,2.0,1,0,0,0,0,0,2.0,1,0,0,0,0,0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,18.0,1.0,1.0,2.0,0.0,2.0,52.0,52.0,68.0,6.8,16.0,1.0,1.0,1.0,4,16.8,0.0,0.0,1.0,0.0,4.0,4.0,2.0,1,0,0,6.0,0,1,4.0,12.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,1.0,4.0,1.0,12.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,3.5,I based my decision on how much could I bet without losing money,"In the second period I was willing to risk one point more just to obtain the object, because of the points I earned in the first period",6,1,1,0913,2,
7,55mglaly,0,37,36,Non_clairvoyant_dynamic_worse_2,Results,2021-09-13 17:46:37.552771,1,73.0,8tt4aoii,0,0.1,Non_clairvoyant_dynamic_worse_2,0.0,7,73.0,2.0,2.0,16.0,0,0,0,1,0,0,2.0,1,0,0,0,0,0,32.0,4.0,0.0,3.0,1.0,0.0,0.0,14.0,-1.0,23.0,1.0,1.0,5.0,2.0,3.0,64.0,63.0,73.0,7.3,10.0,1.0,0.0,1.0,1,17.3,0.0,0.0,1.0,0.0,4.0,4.0,6.0,0,0,1,6.0,0,1,12.0,12.0,1.0,4.0,0.0,0.0,1.0,6.0,1.0,7.0,1.0,1.0,5.0,0.0,5.0,1.0,1.0,1.0,4.0,1.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,18.0,5.0,3.67,"In the first period, my decisions where mostly based on chance, but taking the price into account.","In the second period, my decisions were based on the fact that there was a possibility to gain points if I paid the membership price, but I could have lost (which I did).  In this case, it was a gamble to walk away with 3 points, or put them on the line.  I put them on the line, and ended up with -1",7,1,1,0913,2,
8,3jxbi7qz,0,37,36,Non_clairvoyant_dynamic_worse_2,Results,2021-09-13 17:46:48.122388,1,57.0,8tt4aoii,0,0.1,Non_clairvoyant_dynamic_worse_2,0.0,8,57.0,2.0,2.0,2.0,1,0,0,0,0,0,4.0,0,1,0,0,0,0,4.0,8.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,7.0,1.0,1.0,7.0,2.0,5.0,50.0,52.0,57.0,5.7,5.0,1.0,1.0,1.0,8,15.7,0.0,0.0,1.0,0.0,4.0,4.0,2.0,1,0,0,4.0,1,0,4.0,8.0,3.0,2.0,1.0,0.0,3.0,0.0,-1.0,-1.0,0.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,2.0,1.0,8.0,3.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,6.0,2.61,Good,Good,8,1,1,0913,2,
9,9azhphtr,0,37,36,Non_clairvoyant_dynamic_worse_2,Results,2021-09-13 17:47:00.735157,1,71.0,8tt4aoii,0,0.1,Non_clairvoyant_dynamic_worse_2,0.0,9,71.0,2.0,2.0,4.0,0,1,0,0,0,0,4.0,0,1,0,0,0,0,8.0,8.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,21.0,1.0,1.0,3.0,0.0,3.0,54.0,55.0,71.0,7.1,16.0,1.0,1.0,1.0,1,17.1,0.0,0.0,1.0,0.0,4.0,4.0,4.0,0,1,0,6.0,0,1,8.0,12.0,0.0,5.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,1.0,13.0,4.0,9.0,1.0,1.0,1.0,6.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,7.0,,,,9,1,1,0913,2,
10,7ye6efv3,0,37,36,Non_clairvoyant_dynamic_worse_2,Results,2021-09-13 17:47:13.436700,1,60.0,8tt4aoii,0,0.1,Non_clairvoyant_dynamic_worse_2,0.0,10,60.0,2.0,2.0,4.0,0,1,0,0,0,0,4.0,0,1,0,0,0,0,8.0,8.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,10.0,1.0,1.0,3.0,0.0,3.0,54.0,55.0,60.0,6.0,5.0,1.0,1.0,1.0,10,16.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,1,0,0,6.0,0,1,4.0,12.0,3.0,2.0,0.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,6.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,1.0,3.89,matching the secret price,matching the secret price,10,1,1,0913,2,
