id_in_session,code,_is_bot,_index_in_pages,_max_page_index,_current_app_name,_current_page_name,time_started_utc,visited,participant_code,session_code,is_demo,real_world_currency_per_point,name,participation_fee,id_in_group,payoff,reserve_m_1,reserve_m_2,value_1,value_1_1,value_1_2,value_1_3,value_1_4,value_1_5,value_1_6,value_2,value_2_1,value_2_2,value_2_3,value_2_4,value_2_5,value_2_6,value_1_max,value_2_max,reserve_p_2,upfront_2,random_m_1,random_m_2,reserve_2,profit_1,profit_2,profit,get_1,get_2,revenue,revenue_1,revenue_2,account_1,account_2,account,earn,bonus,getmyerson_1,getmyerson_2,getpost_2,lucky,finalpay,quiz1,quiz2,quiz3,quiz4,p_reserve_m_1,p_reserve_m_2,p_value_1,p_value_1_1,p_value_1_2,p_value_1_3,p_value_2,p_value_2_1,p_value_2_2,p_value_1_max,p_value_2_max,p_reserve_p_2,p_upfront_2,p_random_m_1,p_random_m_2,p_reserve_2,p_profit_1,p_profit_2,p_profit,p_get_1,p_get_2,p_revenue,p_revenue_1,p_revenue_2,p_getmyerson_1,p_getmyerson_2,p_getpost_2,p_bid_1,p_enter_2,p_bid_2,bid_1,enter_2,bid_2,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,lottery7,lottery8,lottery9,lottery10,survey1,survey2,survey3,survey4,survey5,survey6,surveyid,id_in_subsession,round_number,date,treatment,survey3grad,t,revenue_upfront,revenue_post,revenue_myerson,revenue_2_n,revenue_n,get_2_t,revenue_1_theory,upfront_theory,revenue_post_theory,revenue_2_theory,revenue_theory,revenue_post_t,revenue_2_enter,revenue_enter,revenue_n_t,revenue_min,revenue_min1,revenue_min2,diffbv_1,diffbv_2,overp1,overp2,diffbvp_1,diffbvp_2,over1,over2,diff1,diff2,diff_ave,profit_n,nonclair,risk,risks,theory_r1,theory_r2,theory_r,med1,lqt1,uqt1,iqr1,mean1,ls1,us1,outliers1,med,lqt,uqt,iqr,ls,us,mean,std,std1,std2,rev_1,std1t1,std2t1,rev_2,rev_t,rev_enter_t,rev_m,rev_m1,rev_m2,outliers,fpay,scenario,static
2,y2ak7cnf,0,37,36,Non_clairvoyant_dynamic,Results,2021-10-10 16:29:42.755528,1,62,ihlggr6e,0,.1,Non_clairvoyant_dynamic,0,2,62,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,4,3,0,1,2,2,0,12,1,1,5,0,5,52,52,62,6.1999998,10,1,1,0,5,16.200001,0,0,1,0,4,4,2,1,0,0,6,0,1,4,12,2,3,1,0,2,0,1,1,0,1,5,0,5,0,1,1,3,1,6,3,1,3,1,0,0,0,1,1,1,1,1,1,1,22,3,,,,2,1,1,1010,1,1,1,0,0,2,2,2,0,0,2,2,2,2,3,2,2,4.5,0,2.8,3,1,1,1,1,1.5,1.5,1,1,1.5,1.5,1.5,2,1,1,7,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,17,Scenario A,0
2,vf293li7,0,37,36,Non_clairvoyant_dynamic,Results,2021-10-17 15:12:56.094367,1,57,hhumyvd9,0,.1,Non_clairvoyant_dynamic,0,2,57,2,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,4,8,4,3,0,0,4,2,-3,7,1,1,7,0,7,52,49,57,5.6999998,8,1,1,1,8,15.7,0,0,1,0,4,4,6,0,1,1,4,1,0,12,8,0,5,0,1,4,6,0,6,1,1,9,0,9,1,1,1,5,1,5,3,1,6,1,1,1,1,1,0,0,0,0,0,1,19,4,4,"In the first period, I did the mean of the two numbers because 50% of buyers were willing to pay four points, and 50% of buyers were willing to pay 6 points. If I was the seller, I would have done the math 4+6/2= 5. I believe that people who were willing to pay 6 points will be satisfied with the cost, and most people wiling to pay 4 points would have been okay with paying one more point. ","In the second period, I just saw that I was more likely to get eight points than five points in choices1-4 so I chose option A. On option 5 the payout was going to be more then 5 points if I chose option A, so I did not take the risk of choosing option B. Then for option 6-10 I had a high chance of earing the largest amount, 16 points so I went for it. ",18,1,1,1017,1,0,1,3,7,0,7,7,1,0,2,6,6,6,7,6,6,4.5,0,2.8,3,1,2,1,1,1.5,1.5,1,1,1.5,1.5,1.5,-1,1,5,5,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,16,Scenario A,0
8,jaq6oi6x,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:38:51.260123,1,54,igdrqddk,0,.1,Non_clairvoyant_dynamic,0,8,54,2,2,2,1,0,0,0,0,0,2,1,0,0,0,0,0,4,4,2,4,1,0,2,0,-4,4,1,1,8,2,6,50,46,54,5.4000001,8,1,1,1,7,15.4,0,0,1,0,4,4,6,0,0,1,4,1,0,12,8,0,5,0,1,4,6,0,6,1,1,9,0,9,1,1,1,6,1,6,4,1,3,1,1,1,1,1,0,1,0,0,0,0,20,2,,,,8,1,1,913,1,,1,4,6,0,6,8,1,2,2,4,4,6,6,4,6,4.5,0,2.8,3,2,1,1,1,2,1.5,1,1,2,1.5,1.75,-4,1,5,6,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,16,Scenario A,0
3,0i7ewayj,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-26 16:36:30.243542,1,56,5kbhy2vn,0,.1,Non_clairvoyant_dynamic,0,3,56,2,2,2,1,0,0,0,0,0,2,1,0,0,0,0,0,4,4,2,4,0,0,2,2,-4,6,1,1,6,0,6,52,48,56,5.5999999,8,1,1,1,8,15.6,0,0,1,0,4,4,2,1,0,0,6,0,1,4,12,3,2,1,0,3,0,1,1,0,1,5,0,5,0,1,1,2,1,12,4,1,2,0,0,0,1,1,1,1,1,1,1,0,20,7,3.8,"In the first period, I considered that I am likely to get the item with the highest bid so I bid the highest I could.",I made the decision by assuming that paying the membership fee would lead to a greater reward in the end. ,3,1,1,926,1,0,1,4,6,0,6,6,1,0,2,4,4,4,6,4,4,4.5,0,2.8,3,2,0,1,0,2,1,1,0,2,1,1.5,-2,1,0,7,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,16,Scenario A,0
20,mvp8k745,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:42:30.957220,1,58,igdrqddk,0,.1,Non_clairvoyant_dynamic,0,20,58,2,2,4,0,1,0,0,0,0,2,1,0,0,0,0,0,8,4,2,4,0,0,2,4,-4,8,1,1,6,0,6,54,50,58,5.8000002,8,1,1,1,7,15.8,0,0,1,0,4,4,6,0,0,1,4,1,0,12,8,0,5,0,0,0,6,-1,5,1,1,5,0,5,1,1,1,5,1,4,4,1,2,1,1,1,1,1,0,0,0,0,0,1,20,3,3.2,Don't bid more than the value of the item. You could pay more than the item is worth.,Pay the fee. Hope for a higher value. got 2 so didnt want to bid more than 2. Ended up losing points,20,1,1,913,1,,1,4,6,0,6,6,1,0,4,6,6,6,6,6,6,4.5,0,2.8,3,0,0,0,0,1,1,0,0,1,1,1,0,1,5,5,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,16,Scenario A,0
23,tlli1uzw,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-14 16:29:45.755231,1,72,bbp27rqb,0,.1,Non_clairvoyant_dynamic,0,23,72,2,2,2,1,0,0,0,0,0,16,0,0,0,1,0,0,4,32,16,1,1,1,2,0,14,22,0,1,3,0,3,50,64,72,7.1999998,8,0,1,0,6,17.200001,0,0,1,0,4,4,2,1,0,0,6,0,1,4,12,3,2,1,1,4,0,2,2,0,1,6,0,6,0,1,1,2,1,8,1,1,15,1,1,1,1,1,1,0,0,0,0,1,21,5,3.8800001,Only bid the (worth of the item to you - 1) to ensure that at minimum you make 1 point of profit.,Only bid (the worth of the item to you - entry fee - 1) to ensure that at minimum you will make 1 point of profit.,23,1,1,914,1,,1,0,0,2,2,2,0,2,2,2,2,4,1,2,2,4.5,0,2.8,3,-1,-1,0,0,.5,.9375,0,0,.5,.9375,.71875,14,1,6,6,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,18,Scenario A,0
13,x3sk601e,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:38:05.467104,1,59,igdrqddk,0,.1,Non_clairvoyant_dynamic,0,13,59,2,2,2,1,0,0,0,0,0,8,0,0,1,0,0,0,4,16,2,4,0,0,2,2,2,9,1,1,6,0,6,52,54,59,5.9000001,5,1,1,1,10,15.9,0,0,1,0,4,4,4,0,1,0,4,1,0,8,8,0,5,0,0,0,4,-1,3,1,1,5,0,5,1,1,1,6,1,8,4,1,9,0,0,0,0,0,0,0,0,0,0,1,21,3,3.4000001,the highest bid,above average points,7,1,1,913,1,,1,4,6,0,6,6,1,0,2,4,4,4,6,4,4,4.5,0,2.8,3,2,1,1,1,2,1.125,1,1,2,1.125,1.5625,4,1,0,0,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,16,Scenario A,0
4,5yy7pkd5,0,37,36,Non_clairvoyant_dynamic,Results,2021-10-17 15:13:12.334413,1,59,hhumyvd9,0,.1,Non_clairvoyant_dynamic,0,4,59,2,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,8,8,2,4,1,1,2,2,2,9,1,1,8,2,6,52,54,59,5.9000001,5,1,1,1,10,15.9,0,0,1,0,4,4,6,1,0,1,4,1,0,12,8,0,5,0,1,4,6,0,6,1,1,9,0,9,1,1,1,6,1,4,4,1,3,1,1,1,1,0,0,0,0,0,0,0,20,1,3.4000001,"Since the options were 50/50, I went with the higher number hoping for a larger payout, while still trying to keep a safe choice and minimizing  risks for losses.","I went with the 25% because while it was more risky than going for the 50% option, it was a higher profit and 1/4 odds is still secure.",20,1,1,1017,1,0,1,0,0,2,2,4,0,2,4,4,2,4,4,2,4,4.5,0,2.8,3,0,-1,0,0,1,.75,0,0,1,.75,.875,4,1,4,4,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,16,Scenario A,0
2,xjc4w6yi,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:29:18.101488,1,60,igdrqddk,0,.1,Non_clairvoyant_dynamic,0,2,60,2,2,4,0,1,0,0,0,0,4,0,1,0,0,0,0,8,8,0,6,0,0,0,4,-2,10,1,1,6,0,6,54,52,60,6,8,1,1,1,10,16,0,0,1,0,4,4,6,0,0,1,4,1,0,12,8,0,5,1,1,4,2,0,2,1,1,13,4,9,1,1,1,6,1,6,7,1,6,1,1,1,1,1,1,1,0,0,0,0,20,9,2.5999999,"I simply bid higher than my value, to ensure I had a chance. The bigger the true value the higher the bid","I simply bid higher than my value, to ensure I had a chance. The bigger the true value the higher the bid",2,1,1,913,1,,1,6,6,0,6,6,1,0,4,4,4,4,6,4,4,4.5,0,2.8,3,3,2,1,1,1.75,1.5,1,1,1.75,1.5,1.625,2,1,7,7,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,17,Scenario A,0
10,s3esqf9z,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-26 16:38:32.256530,1,60,5kbhy2vn,0,.1,Non_clairvoyant_dynamic,0,10,60,2,2,4,0,1,0,0,0,0,4,0,1,0,0,0,0,8,8,2,4,0,0,2,4,-2,10,1,1,6,0,6,54,52,60,6,8,1,1,1,10,16,0,0,1,0,4,4,4,0,1,0,4,1,0,8,8,1,4,0,1,4,4,0,4,1,1,8,0,8,1,1,1,4,1,6,4,1,2,0,1,1,1,1,0,0,0,0,0,0,19,2,3.8,I picked the higher percentage as my final decision.,I tried to even the options out by putting one half as option 1 and the other as option 2.,9,1,1,926,1,0,1,4,6,0,6,6,1,0,4,6,6,6,6,6,6,4.5,0,2.8,3,0,-2,0,0,1,.5,0,0,1,.5,.75,2,1,4,4,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,17,Scenario A,0
19,bi6tcpnn,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-14 16:28:56.167028,1,58,bbp27rqb,0,.1,Non_clairvoyant_dynamic,0,19,58,2,2,4,0,1,0,0,0,0,2,1,0,0,0,0,0,8,4,8,2,1,0,8,2,-2,8,1,0,4,2,2,52,50,58,5.8000002,8,1,1,0,6,15.8,0,0,1,0,4,4,6,0,0,1,4,1,0,12,8,0,5,1,1,4,2,0,2,1,1,13,4,9,1,1,1,7,1,5,2,1,2,1,1,1,1,1,0,0,0,0,0,0,30,3,3.9000001,,,19,1,1,914,1,,1,2,2,0,2,4,0,2,4,4,4,6,2,4,6,4.5,0,2.8,3,-2,0,0,0,.5,1,0,0,.5,1,.75,0,1,5,5,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,16,Scenario A,0
10,0nn4wr8s,0,37,36,Non_clairvoyant_dynamic,Results,2021-09-13 16:33:03.535544,1,62,igdrqddk,0,.1,Non_clairvoyant_dynamic,0,10,62,2,2,2,1,0,0,0,0,0,4,0,1,0,0,0,0,4,8,16,1,0,1,2,2,2,12,1,1,3,0,3,52,54,62,6.1999998,8,0,1,0,10,16.200001,0,0,1,0,4,4,6,0,0,1,4,1,0,12,8,4,1,1,0,4,0,-1,-1,0,1,5,0,5,0,1,1,1,1,6,1,1,2,1,1,1,1,1,1,0,1,0,0,1,19,3,3.79,using the distribution table I sold for whatever the most way that was lower than my true value so I could take less risk keep a profit,I bought the fee so I ended up increasing my bid using the profit from the first round,10,1,1,913,1,,1,0,0,2,2,2,0,0,2,2,2,2,1,2,2,4.5,0,2.8,3,-1,-2,0,0,.5,.5,0,0,.5,.5,.5,4,1,6,7,1,3.5,4.5,4,2,6,4,4.5166669,12,2,,4,2,6,4,12,2,4.359375,2.5220752,4.6746345,4.0441155,.96875,1.2840095,.6534906,3.390625,4.5,4.46875,0,2.8,3,,17,Scenario A,0
